Code,Aspect,Linked Aspect IDs
AC9E2LY11,"They spell words with regular spelling patterns, and use phonic and morphemic knowledge to attempt to spell words with less common patterns., They use phonic and morphemic knowledge, and grammatical patterns to read unfamiliar words and most high-frequency words.","Year2-AS-2591, Year2-AS-4559"
AC9E2LY12,"They spell words with regular spelling patterns, and use phonic and morphemic knowledge to attempt to spell words with less common patterns., They use phonic and morphemic knowledge, and grammatical patterns to read unfamiliar words and most high-frequency words.","Year2-AS-2591, Year2-AS-4559"
AC9E3LA01,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories.","Year3-AS-9767, Year4-AS-9767"
AC9E3LA02,"They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning., They relate ideas; express opinion, preferences and appreciation of texts; and include relevant details from learnt topics, topics of interest or texts., They use language features including topic-specific vocabulary, and/or visual features and features of voice., They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year3-AS-4477, Year3-AS-5312, Year3-AS-7796, Year3-AS-994"
AC9E3LA03,"They describe how texts are structured and presented., They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning., They group, logically sequence and link ideas., They read, view and comprehend texts, recognising their purpose and audience., They use language features including topic-specific vocabulary, and/or visual features and features of voice., They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year3-AS-3926, Year3-AS-4477, Year3-AS-4698, Year3-AS-77, Year3-AS-7796, Year3-AS-994"
AC9E3LA04,"They describe how texts are structured and presented., They group, logically sequence and link ideas., They read, view and comprehend texts, recognising their purpose and audience., They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year3-AS-3926, Year3-AS-4698, Year3-AS-77, Year3-AS-994"
AC9E3LA05,"They describe how texts are structured and presented., They read, view and comprehend texts, recognising their purpose and audience., They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year3-AS-3926, Year3-AS-4698, Year3-AS-994"
AC9E3LA06,"They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning., They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year3-AS-7796, Year3-AS-994"
AC9E3LA07,"They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning., They relate ideas; express opinion, preferences and appreciation of texts; and include relevant details from learnt topics, topics of interest or texts., They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year3-AS-5312, Year3-AS-7796, Year3-AS-994"
AC9E3LA08,"They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning., They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year3-AS-7796, Year3-AS-994"
