Aspect ID,Year,Aspect,Code
Year2-AS-8822,Year 2,"Students interact with others, and listen to and create spoken texts including stories.","AC9E2LA01, AC9E2LE03, AC9E2LE05, AC9E2LY02, AC9E2LY05, AC9E2LY07"
Year2-AS-1132,Year 2,"They create written and/or multimodal texts including stories to inform, express an opinion, adapt an idea or narrate for audiences.","AC9E2LA02, AC9E2LA08, AC9E2LE01, AC9E2LE02, AC9E2LE05, AC9E2LY06"
Year2-AS-8841,Year 2,"They describe how similar topics and information are presented through the structure of narrative and informative texts, and identify their language features and visual features.","AC9E2LA03, AC9E2LA04, AC9E2LA05, AC9E2LA06, AC9E2LA07, AC9E2LA08, AC9E2LA10, AC9E2LE01, AC9E2LE03, AC9E2LY01, AC9E2LY03"
Year2-AS-1724,Year 2,"They organise and link ideas, and use language features including topic-specific vocabulary and features of voice.","AC9E2LA02, AC9E2LA03, AC9E2LA09, AC9E2LE04, AC9E2LE05, AC9E2LY07"
Year2-AS-4307,Year 2,They punctuate simple and compound sentences.,"AC9E2LA06, AC9E2LA07, AC9E2LA10, AC9E2LY06"
Year2-AS-7457,Year 2,"They read, view and comprehend texts, identifying literal and inferred meaning, and how ideas are presented through characters and events.","AC9E2LA05, AC9E2LA06, AC9E2LA07, AC9E2LA08, AC9E2LE01, AC9E2LE03, AC9E2LY01, AC9E2LY03, AC9E2LY04, AC9E2LY05"
Year2-AS-9971,Year 2,"They share ideas, topic knowledge and appreciation of texts when they recount, inform or express an opinion, including details from learnt topics, topics of interest or texts.","AC9E2LA02, AC9E2LE01, AC9E2LE02, AC9E2LE03, AC9E2LY02, AC9E2LY07"
Year2-AS-4559,Year 2,"They spell words with regular spelling patterns, and use phonic and morphemic knowledge to attempt to spell words with less common patterns.","AC9E2LY06, AC9E2LY09, AC9E2LY10, AC9E2LY11, AC9E2LY12"
Year2-AS-2591,Year 2,"They use phonic and morphemic knowledge, and grammatical patterns to read unfamiliar words and most high-frequency words.","AC9E2LY04, AC9E2LY09, AC9E2LY10, AC9E2LY11, AC9E2LY12"
Year2-AS-5330,Year 2,They use punctuation for phrasing and fluency.,"AC9E2LA10, AC9E2LY04"
Year2-AS-6476,Year 2,They use text structures to organise and link ideas for a purpose.,"AC9E2LA03, AC9E2LA04, AC9E2LE05, AC9E2LY06"
Year2-AS-5660,Year 2,They use topic-specific vocabulary.,"AC9E2LA09, AC9E2LY06"
Year2-AS-2218,Year 2,They write words using consistently legible unjoined letters.,AC9E2LY08
Year3-AS-9767,Year 3,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories.","AC9E3LA01, AC9E3LE02, AC9E3LE05, AC9E3LY02, AC9E3LY05, AC9E3LY07, AC9E4LA01"
Year3-AS-7849,Year 3,"They create written and/or multimodal texts including stories to inform, narrate, explain or argue for audiences, relating ideas including relevant details from learnt topics, topics of interest or texts.","AC9E3LE02, AC9E3LE05, AC9E3LY06"
Year3-AS-6612,Year 3,They describe how stories are developed through characters and/or events.,"AC9E3LA09, AC9E3LE03, AC9E3LY01, AC9E3LY03"
Year3-AS-4698,Year 3,They describe how texts are structured and presented.,"AC9E3LA03, AC9E3LA04, AC9E3LA05, AC9E3LY01, AC9E3LY05"
Year3-AS-7796,Year 3,"They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning.","AC9E3LA02, AC9E3LA03, AC9E3LA06, AC9E3LA07, AC9E3LA08, AC9E3LA09, AC9E3LA10, AC9E3LA11, AC9E3LE01, AC9E3LE03, AC9E3LE04, AC9E3LY01, AC9E3LY03"
Year3-AS-77,Year 3,"They group, logically sequence and link ideas.","AC9E3LA03, AC9E3LA04, AC9E3LE05, AC9E3LY07"
Year3-AS-7034,Year 3,They identify literal meaning and explain inferred meaning.,"AC9E3LA09, AC9E3LE01, AC9E3LY05"
Year3-AS-1436,Year 3,"They read fluently, using phonic, morphemic and grammatical knowledge to read multisyllabic words with more complex letter patterns.","AC9E3LY04, AC9E3LY09, AC9E3LY10, AC9EFLY11"
Year3-AS-3926,Year 3,"They read, view and comprehend texts, recognising their purpose and audience.","AC9E3LA03, AC9E3LA04, AC9E3LA05, AC9E3LA09, AC9E3LE01, AC9E3LE03, AC9E3LE04, AC9E3LY01, AC9E3LY03, AC9E3LY04, AC9E3LY05"
Year3-AS-5312,Year 3,"They relate ideas; express opinion, preferences and appreciation of texts; and include relevant details from learnt topics, topics of interest or texts.","AC9E3LA02, AC9E3LA07, AC9E3LE01, AC9E3LE02, AC9E3LE03, AC9E3LE04, AC9E3LY02, AC9E3LY07"
Year3-AS-1942,Year 3,"They spell multisyllabic words using phonic and morphemic knowledge, and high-frequency words.","AC9E3LY06, AC9E3LY09, AC9E3LY11, AC9E3LY12"
Year3-AS-4477,Year 3,"They use language features including topic-specific vocabulary, and/or visual features and features of voice.","AC9E3LA02, AC9E3LA03, AC9E3LA09, AC9E3LA10, AC9E3LE05, AC9E3LY07"
Year3-AS-994,Year 3,"They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features.","AC9E3LA02, AC9E3LA03, AC9E3LA04, AC9E3LA05, AC9E3LA06, AC9E3LA07, AC9E3LA08, AC9E3LA09, AC9E3LA10, AC9E3LA11, AC9E3LE05, AC9E3LY06"
Year3-AS-3749,Year 3,They write texts using letters that are accurately formed and consistent in size.,AC9E3LY08
Year4-AS-9767,Year 4,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories.","AC9E3LA01, AC9E3LY02, AC9E4LA01, AC9E4LE04, AC9E4LE05, AC9E4LY02, AC9E4LY05, AC9E4LY07"
Year4-AS-8934,Year 4,"They create written and/or multimodal texts including stories for purposes and audiences, where they develop ideas using details from learnt topics, topics of interest or texts.","AC9E4LA03, AC9E4LA04, AC9E4LA06, AC9E4LA07, AC9E4LA08, AC9E4LA10, AC9E4LE05, AC9E4LY06"
Year4-AS-3318,Year 4,"They describe how ideas are developed including through characters and events, and how texts reflect contexts.","AC9E4LA03, AC9E4LA04, AC9E4LA06, AC9E4LA07, AC9E4LA08, AC9E4LE01, AC9E4LE03, AC9E4LY01, AC9E4LY03"
Year4-AS-4170,Year 4,"They describe how language features including literary devices, and visual features shape meaning.","AC9E4LA02, AC9E4LA03, AC9E4LA06, AC9E4LA07, AC9E4LA08, AC9E4LA09, AC9E4LA10, AC9E4LA11, AC9E4LA12, AC9E4LE03, AC9E4LE04, AC9E4LY03"
Year4-AS-2446,Year 4,They describe the characteristic features of different text structures.,"AC9E4LA03, AC9E4LA04, AC9E4LA05, AC9E4LY03"
Year4-AS-5193,Year 4,"They read fluently and accurately, integrating phonic, morphemic, grammatical and punctuation knowledge.","AC9E4LA12, AC9E4LY04, AC9E4LY09, AC9E4LY11"
Year4-AS-1871,Year 4,"They read, view and comprehend texts created to inform, influence and/or engage audiences.","AC9E4LA05, AC9E4LA07, AC9E4LA10, AC9E4LA11, AC9E4LE01, AC9E4LE03, AC9E4LE04, AC9E4LY01, AC9E4LY03, AC9E4LY04, AC9E4LY05"
Year4-AS-928,Year 4,"They share and extend ideas, opinions and information with audiences, using relevant details from learnt topics, topics of interest or texts.","AC9E4LA02, AC9E4LE02, AC9E4LE03, AC9E4LE04, AC9E4LY02, AC9E4LY07"
Year4-AS-4250,Year 4,"They spell words including multisyllabic and multimorphemic words with irregular spelling patterns, using phonic, morphemic and grammatical knowledge.","AC9E4LA09, AC9E4LY06, AC9E4LY09, AC9E4LY10, AC9E4LY11"
